Model-Split,Ablation,Type,Time,Count
GAT-Randomsplit,base+structural,FP,32,3
GAT-Randomsplit,base+structural,FP,33,5
GAT-Randomsplit,base+structural,FP,34,10
GAT-Randomsplit,base+structural,FP,35,9
GAT-Randomsplit,base+structural,FP,36,41
GAT-Randomsplit,base+structural,FP,37,12
GAT-Randomsplit,base+structural,FP,38,18
GAT-Randomsplit,base+structural,FP,39,15
GAT-Randomsplit,base+structural,FP,40,36
GAT-Randomsplit,base+structural,FP,41,622
GAT-Randomsplit,base+structural,FP,42,27
GAT-Randomsplit,base+structural,FP,43,17
GAT-Randomsplit,base+structural,FP,44,6
GAT-Randomsplit,base+structural,FP,45,5
GAT-Randomsplit,base+structural,FP,46,38
GAT-Randomsplit,base+structural,FP,47,12
GAT-Randomsplit,base+structural,FP,48,280
GAT-Randomsplit,base+structural+typology,FN,1,40
GAT-Randomsplit,base+structural+typology,FN,2,2
GAT-Randomsplit,base+structural+typology,FN,3,1
GAT-Randomsplit,base+structural+typology,FN,4,63
GAT-Randomsplit,base+structural+typology,FN,5,3
GAT-Randomsplit,base+structural+typology,FN,6,59
GAT-Randomsplit,base+structural+typology,FN,8,7
GAT-Randomsplit,base+structural+typology,FN,9,5
GAT-Randomsplit,base+structural+typology,FN,10,5
GAT-Randomsplit,base+structural+typology,FN,11,22
GAT-Randomsplit,base+structural+typology,FN,13,2
GAT-Randomsplit,base+structural+typology,FN,14,33
GAT-Randomsplit,base+structural+typology,FN,15,1
GAT-Randomsplit,base+structural+typology,FN,19,2
GAT-Randomsplit,base+structural+typology,FN,20,4
GAT-Randomsplit,base+structural+typology,FN,21,5
GAT-Randomsplit,base+structural+typology,FN,25,3
GAT-Randomsplit,base+structural+typology,FN,26,1
GAT-Randomsplit,base+structural+typology,FN,28,1
GAT-Randomsplit,base+structural+typology,FN,29,5
GAT-Randomsplit,base+structural+typology,FN,31,5
GAT-Randomsplit,base+structural+typology,FN,32,1
GAT-Randomsplit,base+structural+typology,FN,33,2
GAT-Randomsplit,base+structural+typology,FN,34,1
GAT-Randomsplit,base+structural+typology,FN,35,4
GAT-Randomsplit,base+structural+typology,FN,36,17
GAT-Randomsplit,base+structural+typology,FN,37,1
GAT-Randomsplit,base+structural+typology,FN,38,8
GAT-Randomsplit,base+structural+typology,FN,39,5
GAT-Randomsplit,base+structural+typology,FN,40,11
GAT-Randomsplit,base+structural+typology,FN,41,261
GAT-Randomsplit,base+structural+typology,FN,42,12
GAT-Randomsplit,base+structural+typology,FN,43,2
GAT-Randomsplit,base+structural+typology,FN,44,2
